ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Player 1;Player 2;WRank;LRank;WPts;LPts;Set 1 Player 1;Set 1 Player 2;Set 2 Player 1;L2;Set 3 Player 1;Set 3 Player 2;Set 4 Player 1;Set 4 Player 2;Set 5 Player 1;Set 5 Player 12;P1sets;P2sets
1;Brisbane;Brisbane International;31.12.23;ATP250;Outdoor;Hard;1st Round;3;Popyrin A.;O Connell C.;40;68;1084;780;6;4;6;Set 2 Player 2;7;6;;;;;2;1
1;Brisbane;Brisbane International;31.12.23;ATP250;Outdoor;Hard;1st Round;3;Shevchenko A.;Van Assche L.;48;90;947;687;6;3;6;2;;;;;;;2;0
1;Brisbane;Brisbane International;01.01.24;ATP250;Outdoor;Hard;1st Round;3;Safiullin R.;Shelton B.;39;17;1122;2145;6;3;6;7;6;3;;;;;2;1
1;Brisbane;Brisbane International;01.01.24;ATP250;Outdoor;Hard;1st Round;3;Rune H.;Purcell M.;8;45;3660;1012;4;6;6;4;6;2;;;;;2;1
1;Brisbane;Brisbane International;01.01.24;ATP250;Outdoor;Hard;1st Round;3;Dimitrov G.;Murray A.;14;42;2570;1050;4;6;7;5;6;2;;;;;2;1
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Hanfmann Y.;Korda S.;51;24;914;1530;7;5;6;4;;;;;;;2;0
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Klein L.;Baez S.;170;28;359;1435;4;6;6;3;6;4;;;;;2;1
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Duckworth J.;Wolf J.J.;116;53;573;910;6;3;6;4;;;;;;;2;0
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Altmaier D.;Tu L.;56;225;891;280;7;6;7;6;;;;;;;2;0
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Machac T.;Etcheverry T.;78;30;722;1375;6;7;7;5;7;6;;;;;2;1
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Thompson J.;Vukic A.;55;62;902;835;6;3;6;2;;;;;;;2;0
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Arnaldi M.;Fucsovics M.;44;59;1021;882;6;7;6;4;7;6;;;;;2;1
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Nadal R.;Thiem D.;672;98;45;652;7;5;6;1;;;;;;;2;0
1;Brisbane;Brisbane International;02.01.24;ATP250;Outdoor;Hard;1st Round;3;Hijikata R.;Kokkinakis T.;71;65;744;802;7;6;6;2;;;;;;;2;0
1;Brisbane;Brisbane International;03.01.24;ATP250;Outdoor;Hard;1st Round;3;Humbert U.;Michelsen A.;20;97;1765;653;6;4;6;4;;;;;;;2;0
1;Brisbane;Brisbane International;03.01.24;ATP250;Outdoor;Hard;2nd Round;3;Duckworth J.;Hanfmann Y.;116;51;573;914;4;6;6;1;7;6;;;;;2;1
1;Brisbane;Brisbane International;03.01.24;ATP250;Outdoor;Hard;2nd Round;3;Arnaldi M.;Klein L.;44;170;1021;359;6;4;3;6;7;5;;;;;2;1
